"","Familysur","Title","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","TicketFreq","FareAdj","FamilySize","FP","wc","FA","Surname","GroupId","Color","GroupFreq","TicketId","FS","group"
"1",0,"man",1,0,3,"Braund, Mr. Owen Harris","male",22,1,0,"A/5 21171",7.25,"","S",1,7.25,2,108.25,0,22,"Braund","noGroup",0,782,"3-A/5 2117X-7.25-S",0.5,0
"2",1,"woman",2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38,1,0,"PC 17599",71.2833,"C85","C",2,35.64165,2,336.64165,2,38,"Cumings","noGroup",1,1,"1-PC 1759X-71.2833-C",0.5,2
"3",1,"woman",3,1,3,"Heikkinen, Miss. Laina","female",26,0,0,"STON/O2. 3101282",7.925,"","S",1,7.925,1,108.925,2,26,"Heikkinen","noGroup",1,1,"3-STON/O2. 310128X-7.925-S",0.5,2
"4",0,"woman",4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,1,0,"113803",53.1,"C123","S",2,26.55,2,327.55,2,35,"Futrelle","noGroup",1,1,"1-11380X-53.1-S",0.5,2
"5",0,"man",5,0,3,"Allen, Mr. William Henry","male",35,0,0,"373450",8.05,"","S",1,8.05,1,109.05,0,35,"Allen","noGroup",0,782,"3-37345X-8.05-S",0.5,0
"6",0,"man",6,0,3,"Moran, Mr. James","male",30.1516245487365,0,0,"330877",8.4583,"","Q",1,8.4583,1,109.4583,0,30.1516245487365,"Moran","noGroup",0,782,"3-33087X-8.4583-Q",0.5,0
"7",0,"man",7,0,1,"McCarthy, Mr. Timothy J","male",54,0,0,"17463",51.8625,"E46","S",2,25.93125,1,326.93125,0,54,"McCarthy","noGroup",0,782,"1-1746X-51.8625-S",0.5,0
"8",0,"boy",8,0,3,"Palsson, Master. Gosta Leonard","male",2,3,1,"349909",21.075,"","S",5,4.215,5,105.215,1,-2,"Palsson","Palsson-3-34990X-21.075-S",0,5,"3-34990X-21.075-S",0,1
"9",1,"woman",9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27,0,2,"347742",11.1333,"","S",3,3.7111,3,104.7111,2,27,"Johnson","Johnson-3-34774X-11.1333-S",1,3,"3-34774X-11.1333-S",1,1
"10",0,"woman",10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)","female",14,1,0,"237736",30.0708,"","C",2,15.0354,2,216.0354,1,-14,"Nasser","noGroup",1,1,"2-23773X-30.0708-C",0.5,2
"11",1,"woman",11,1,3,"Sandstrom, Miss. Marguerite Rut","female",4,1,1,"PP 9549",16.7,"G6","S",3,5.56666666666667,3,106.566666666667,1,-4,"Sandstrom","Sandstrom-3-PP 954X-16.7-S",1,3,"3-PP 954X-16.7-S",1,1
"12",1,"woman",12,1,1,"Bonnell, Miss. Elizabeth","female",58,0,0,"113783",26.55,"C103","S",1,26.55,1,327.55,2,58,"Bonnell","noGroup",1,1,"1-11378X-26.55-S",0.5,2
"13",0,"man",13,0,3,"Saundercock, Mr. William Henry","male",20,0,0,"A/5. 2151",8.05,"","S",1,8.05,1,109.05,0,20,"Saundercock","noGroup",0,782,"3-A/5. 215X-8.05-S",0.5,0
"14",0,"man",14,0,3,"Andersson, Mr. Anders Johan","male",39,1,5,"347082",31.275,"","S",7,4.46785714285714,7,105.467857142857,0,39,"Andersson","noGroup",0,782,"3-34708X-31.275-S",0.5,0
"15",0,"woman",15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina","female",14,0,0,"350406",7.8542,"","S",1,7.8542,1,108.8542,1,-14,"Vestrom","noGroup",0,1,"3-35040X-7.8542-S",0.5,2
"16",1,"woman",16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ","female",55,0,0,"248706",16,"","S",1,16,1,217,2,55,"Hewlett","noGroup",1,1,"2-24870X-16-S",0.5,2
"17",0,"boy",17,0,3,"Rice, Master. Eugene","male",2,4,1,"382652",29.125,"","Q",6,4.85416666666667,6,105.854166666667,1,-2,"Rice","Rice-3-38265X-29.125-Q",0,6,"3-38265X-29.125-Q",0,1
"18",1,"man",18,1,2,"Williams, Mr. Charles Eugene","male",30.1516245487365,0,0,"244373",13,"","S",1,13,1,214,0,30.1516245487365,"Williams","noGroup",1,782,"2-24437X-13-S",0.5,0
"19",0,"woman",19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,1,0,"345763",18,"","S",2,9,2,110,2,31,"Vander Planke","Vander Planke-3-34576X-18-S",0,2,"3-34576X-18-S",0,1
"20",1,"woman",20,1,3,"Masselmani, Mrs. Fatima","female",30.1516245487365,0,0,"2649",7.225,"","C",1,7.225,1,108.225,2,30.1516245487365,"Masselmani","noGroup",1,1,"3-264X-7.225-C",0.5,2
"21",0,"man",21,0,2,"Fynney, Mr. Joseph J","male",35,0,0,"239865",26,"","S",2,13,1,214,0,35,"Fynney","noGroup",0,782,"2-23986X-26-S",0.5,0
"22",1,"man",22,1,2,"Beesley, Mr. Lawrence","male",34,0,0,"248698",13,"D56","S",1,13,1,214,0,34,"Beesley","noGroup",1,782,"2-24869X-13-S",0.5,0
"23",1,"woman",23,1,3,"McGowan, Miss. Anna ""Annie""","female",15,0,0,"330923",8.0292,"","Q",1,8.0292,1,109.0292,1,-15,"McGowan","noGroup",1,1,"3-33092X-8.0292-Q",0.5,2
"24",1,"man",24,1,1,"Sloper, Mr. William Thompson","male",28,0,0,"113788",35.5,"A6","S",1,35.5,1,336.5,0,28,"Sloper","noGroup",1,782,"1-11378X-35.5-S",0.5,0
"25",0,"woman",25,0,3,"Palsson, Miss. Torborg Danira","female",8,3,1,"349909",21.075,"","S",5,4.215,5,105.215,1,-8,"Palsson","Palsson-3-34990X-21.075-S",0,5,"3-34990X-21.075-S",0,1
"26",1,"woman",26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38,1,5,"347077",31.3875,"","S",7,4.48392857142857,7,105.483928571429,2,38,"Asplund","Asplund-3-34707X-31.3875-S",1,6,"3-34707X-31.3875-S",0.5,1
"27",0,"man",27,0,3,"Emir, Mr. Farred Chehab","male",30.1516245487365,0,0,"2631",7.225,"","C",1,7.225,1,108.225,0,30.1516245487365,"Emir","noGroup",0,782,"3-263X-7.225-C",0.5,0
"28",0,"man",28,0,1,"Fortune, Mr. Charles Alexander","male",19,3,2,"19950",263,"C23 C25 C27","S",6,43.8333333333333,6,344.833333333333,0,19,"Fortune","noGroup",0,782,"1-1995X-263-S",0.5,0
"29",1,"woman",29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""","female",24.063829787234,0,0,"330959",7.8792,"","Q",1,7.8792,1,108.8792,2,24.063829787234,"O'Dwyer","noGroup",1,1,"3-33095X-7.8792-Q",0.5,2
"30",0,"man",30,0,3,"Todoroff, Mr. Lalio","male",30.1516245487365,0,0,"349216",7.8958,"","S",1,7.8958,1,108.8958,0,30.1516245487365,"Todoroff","noGroup",0,782,"3-34921X-7.8958-S",0.5,0
"31",0,"man",31,0,1,"Uruchurtu, Don. Manuel E","male",40,0,0,"PC 17601",27.7208,"","C",1,27.7208,1,328.7208,0,40,"Uruchurtu","noGroup",0,782,"1-PC 1760X-27.7208-C",0.5,0
"32",1,"woman",32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)","female",42.0173267326733,1,0,"PC 17569",146.5208,"B78","C",3,48.8402666666667,2,349.840266666667,2,42.0173267326733,"Spencer","noGroup",1,1,"1-PC 1756X-146.5208-C",0.5,2
"33",1,"woman",33,1,3,"Glynn, Miss. Mary Agatha","female",24.063829787234,0,0,"335677",7.75,"","Q",1,7.75,1,108.75,2,24.063829787234,"Glynn","noGroup",1,1,"3-33567X-7.75-Q",0.5,2
"34",0,"man",34,0,2,"Wheadon, Mr. Edward H","male",66,0,0,"C.A. 24579",10.5,"","S",1,10.5,1,211.5,0,66,"Wheadon","noGroup",0,782,"2-C.A. 2457X-10.5-S",0.5,0
"35",0,"man",35,0,1,"Meyer, Mr. Edgar Joseph","male",28,1,0,"PC 17604",82.1708,"","C",2,41.0854,2,342.0854,0,28,"Meyer","noGroup",0,782,"1-PC 1760X-82.1708-C",0.5,0
"36",0,"man",36,0,1,"Holverson, Mr. Alexander Oskar","male",42,1,0,"113789",52,"","S",2,26,2,327,0,42,"Holverson","noGroup",0,782,"1-11378X-52-S",0.5,0
"37",1,"man",37,1,3,"Mamee, Mr. Hanna","male",30.1516245487365,0,0,"2677",7.2292,"","C",1,7.2292,1,108.2292,0,30.1516245487365,"Mamee","noGroup",1,782,"3-267X-7.2292-C",0.5,0
